	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G15960	298.488249831919	1.14100346042754	0.159868172027427	7.13715210449637	9.52843902244381e-13	8.43111739362656e-11
AT3G60140	269.060874408539	-3.14111507867512	0.441397687599618	-7.11629255639498	1.10868836498895e-12	9.76467011831007e-11
AT2G23320	1601.58807087655	-0.667097585671924	0.0937728961270753	-7.11397016860729	1.12751532033311e-12	9.88472417235814e-11
AT1G23480	482.365657308887	0.758642850683244	0.106706240334548	7.10963902677786	1.163468495609e-12	1.01531305781953e-10
AT2G46650	953.30000581624	0.627978172892587	0.088365265562742	7.10661784235463	1.18921123507746e-12	1.03303901991387e-10
AT5G07690	112.428427413312	1.48165124382969	0.208777287696884	7.09680281880489	1.2767601441765e-12	1.10404931740063e-10
AT5G10250	78.6449177879318	1.84741147927377	0.26053733430049	7.09077447281726	1.33363529025195e-12	1.14801256840512e-10
AT3G47340	378.865180941373	-1.35019439439005	0.190560420740269	-7.08538734929821	1.38655920846806e-12	1.18819380098632e-10
AT4G06744	954.602992628734	-0.638489128093612	0.0902060025943557	-7.07812240572074	1.46120635579736e-12	1.2465466238874e-10
AT2G47240	1141.28541167625	0.591126362787155	0.0835437475380435	7.07565054485942	1.4874927748257e-12	1.26330636376268e-10
